p.id,p.title,p.year,p.venue,p.venuetype,p.keyword,p.doi,p.abstract,p.notes,f.cat0,f.cat1,f.cat2,f.uc0,f.uc1,f.uc2,f.user,d.source,d.vgi,d.official,d.reference,a.type,a.collec,a.prep1,a.prep2,a.prep3,a.analysis1,a.analysis2,a.analysis3,a.viz,a.tool
p17,Social Media Text Mining and Network Analysis for Decision Support in Natural Crisis Management,2013,International ISCRAM Conference,conference,decision support; social media; text mining; web mining; link analysis; VGI; location extraction,http://www.iscramlive.org/ISCRAM2013/files/228.pdf,,,data-centric,data preparation,location selection,natural disaster,hurricanes,2012 Tsunami Philippine; 2012 Hurricane Sandy,emergency managers,Twitter,,no,,exploratory,API enriched with most popular keywords,,,geo-parsing,,,,,no
p17,Social Media Text Mining and Network Analysis for Decision Support in Natural Crisis Management,2013,International ISCRAM Conference,conference,decision support; social media; text mining; web mining; link analysis; VGI; location extraction,http://www.iscramlive.org/ISCRAM2013/files/228.pdf,,,crisis-centric,crisis management (monitoring),event-relevant extraction,natural disaster,hurricanes,2012 Tsunami Philippine; 2012 Hurricane Sandy,emergency managers,Twitter,,no,,exploratory,API enriched with most popular keywords,,,,"Trustworthiness SNA (indegree, outdegree, betweness)",,,,no
p18,Spatial video data collection in a post-disaster landscape: The Tuscaloosa Tornado of April 27th 2011,2012,Applied Geography,journal,gis; spatial video; disasters; recovery; tornado,http://www.sciencedirect.com/science/article/pii/S0143622811001184,,,crisis-centric,crisis management (recovery and response),collective damage assessment,natural disaster,tornados,2011 Tuscaloosa Tornado,response agencies,Spatial video,,no,,descriptive,,,,,,,gis tools,,no
p19,Using Service-Based GIS to Support Earthquake Research and Disaster Response,2012,Computing in Science and Engineering,journal,gis; cloud computing; earthquake; scientific computing; service-oriented architecture,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6193083,,SOA-based OGC services framework,crisis-centric,crisis management (recovery and response),collective damage assessment,natural disaster,earthquakes,NA,response agencies,Unmaned  aerial vehicles,UVASAR images,yes,GPS; seismicity; geometric fault models; UVA Synthetic Aperture Radar (UAVSAR); InSAR images,exploratory,,,,,,,OGC services; online GIS tools for image analysis,,yes
p19,Using Service-Based GIS to Support Earthquake Research and Disaster Response,2012,Computing in Science and Engineering,journal,gis; cloud computing; earthquake; scientific computing; service-oriented architecture,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6193083,,SOA-based OGC services framework,data-centric,data quality,comparison with official data,natural disaster,earthquakes,NA,response agencies,Unmaned  aerial vehicles,UVASAR images,yes,GPS; seismicity; geometric fault models; UVA Synthetic Aperture Radar (UAVSAR); InSAR images,exploratory,,,,,,,,,yes
p21,CrisisTracker: Crowdsourced Social Media Curation for Disaster Awareness,2013,IBM Journal of Research and Development,journal,NA,http://dx.doi.org/10.1147/JRD.2013.2260692,"Victims, volunteers, and relief organizations are increasingly using social media to report and act on large-scale events, as witnessed in the extensive coverage of the 2010-2012 Arab Spring uprisings and 2011 Japanese tsunami and nuclear disasters. Twitter feeds consist of short messages, often in a nonstandard local language, requiring novel techniques to extract relevant situation awareness data. Existing approaches to mining social media are aimed at searching for specific information, or identifying aggregate trends, rather than providing narratives. We present CrisisTracker, an online system that in real time efficiently captures distributed situation awareness reports based on social media activity during large-scale events, such as natural disasters. CrisisTracker automatically tracks sets of keywords on Twitter and constructs stories by clustering related tweets on the basis of their lexical similarity. It integrates crowdsourcing techniques, enabling users to verify and analyze stories. We report our experiences from an 8-day CrisisTracker pilot deployment during 2012 focused on the Syrian civil war, which processed, on average, 446,000 tweets daily and reduced them to consumable stories through analytics and crowdsourcing. We discuss the effectiveness of CrisisTracker based on the usage and feedback from 48 domain experts and volunteer curators.",,data-centric,data preparation,topic selection,man-made disaster,civil wars,2012 Syrian civil war,decision makers,Twitter,,no,,exploratory,api,people annotate and curate rapid stream of tweets to form stories (crowd curation),,,,,,,yes
p21,CrisisTracker: Crowdsourced Social Media Curation for Disaster Awareness,2013,IBM Journal of Research and Development,journal,NA,http://dx.doi.org/10.1147/JRD.2013.2260692,"Victims, volunteers, and relief organizations are increasingly using social media to report and act on large-scale events, as witnessed in the extensive coverage of the 2010-2012 Arab Spring uprisings and 2011 Japanese tsunami and nuclear disasters. Twitter feeds consist of short messages, often in a nonstandard local language, requiring novel techniques to extract relevant situation awareness data. Existing approaches to mining social media are aimed at searching for specific information, or identifying aggregate trends, rather than providing narratives. We present CrisisTracker, an online system that in real time efficiently captures distributed situation awareness reports based on social media activity during large-scale events, such as natural disasters. CrisisTracker automatically tracks sets of keywords on Twitter and constructs stories by clustering related tweets on the basis of their lexical similarity. It integrates crowdsourcing techniques, enabling users to verify and analyze stories. We report our experiences from an 8-day CrisisTracker pilot deployment during 2012 focused on the Syrian civil war, which processed, on average, 446,000 tweets daily and reduced them to consumable stories through analytics and crowdsourcing. We discuss the effectiveness of CrisisTracker based on the usage and feedback from 48 domain experts and volunteer curators.",,data-centric,data contextualization,situational awareness,man-made disaster,civil wars,2012 Syrian civil war,decision makers,Twitter,,no,,exploratory,api,,word frequency (classifiers); story detection (clustering),,,,,,yes
p21,CrisisTracker: Crowdsourced Social Media Curation for Disaster Awareness,2013,IBM Journal of Research and Development,journal,NA,http://dx.doi.org/10.1147/JRD.2013.2260692,"Victims, volunteers, and relief organizations are increasingly using social media to report and act on large-scale events, as witnessed in the extensive coverage of the 2010-2012 Arab Spring uprisings and 2011 Japanese tsunami and nuclear disasters. Twitter feeds consist of short messages, often in a nonstandard local language, requiring novel techniques to extract relevant situation awareness data. Existing approaches to mining social media are aimed at searching for specific information, or identifying aggregate trends, rather than providing narratives. We present CrisisTracker, an online system that in real time efficiently captures distributed situation awareness reports based on social media activity during large-scale events, such as natural disasters. CrisisTracker automatically tracks sets of keywords on Twitter and constructs stories by clustering related tweets on the basis of their lexical similarity. It integrates crowdsourcing techniques, enabling users to verify and analyze stories. We report our experiences from an 8-day CrisisTracker pilot deployment during 2012 focused on the Syrian civil war, which processed, on average, 446,000 tweets daily and reduced them to consumable stories through analytics and crowdsourcing. We discuss the effectiveness of CrisisTracker based on the usage and feedback from 48 domain experts and volunteer curators.",,crisis-centric,crisis management (monitoring),event-relevant extraction,man-made disaster,civil wars,2012 Syrian civil war,decision makers,Twitter,,no,,exploratory,api,,,,,,,,yes
p22,Crowdsourcing Linked Open Data for Disaster Management,2011,"Terra Cognita Workshop on Foundations, Technologies and Applications of the Geospatial Web",conference,NA,http://iswc2011.semanticweb.org/fileadmin/iswc/Papers/Workshops/Terra/paper2.pdf,"This paper shows how Linked Open Data can ease the challenges of information triage in disaster response efforts. Recently, disaster management has seen a revolution in data collection. Local victims as well as people all over the world collect observations and make them available on the web. Yet, this crucial and timely information source comes unstructured. This hinders a processing and integration, and often a general consideration of this information. Linked Open Data is supported by number of freely available technologies, backed up by a large community in academia and it offers the opportunity to create flexible mash-up solutions. At hand of the Ushahidi Haiti platform, this paper suggests crowdsourced Linked Open Data. We take a look at the requirements, the tools that are there to meet these requirements, and suggest an architecture to enable non-experts to contribute Linked Open Data.",,data-centric,data contextualization,linked data,natural disaster,earthquakes,2012 Haiti earthquake,humanitarian agencies,SMS,Usahidi platform,no,,methodological,,people process unstructured observations into structured RDF-triples,,,,,,a facet-based browsing and map visualizations (SIMILE),no
p22,Crowdsourcing Linked Open Data for Disaster Management,2011,"Terra Cognita Workshop on Foundations, Technologies and Applications of the Geospatial Web",conference,NA,http://iswc2011.semanticweb.org/fileadmin/iswc/Papers/Workshops/Terra/paper2.pdf,"This paper shows how Linked Open Data can ease the challenges of information triage in disaster response efforts. Recently, disaster management has seen a revolution in data collection. Local victims as well as people all over the world collect observations and make them available on the web. Yet, this crucial and timely information source comes unstructured. This hinders a processing and integration, and often a general consideration of this information. Linked Open Data is supported by number of freely available technologies, backed up by a large community in academia and it offers the opportunity to create flexible mash-up solutions. At hand of the Ushahidi Haiti platform, this paper suggests crowdsourced Linked Open Data. We take a look at the requirements, the tools that are there to meet these requirements, and suggest an architecture to enable non-experts to contribute Linked Open Data.",,data-centric,data assessment,user-driven data assessment,natural disaster,earthquakes,2012 Haiti earthquake,humanitarian agencies,SMS,Usahidi platform,no,,methodological,,people process unstructured observations into structured RDF-triples,,,,,,,no
p23,Crowdsourcing earthquake damage assessment using remote sensing imagery,2011,Annals of Geophysics,journal,surveys; measurements and monitoring; instruments and techniques; seismic risk; seismology; data dissemination generation,http://www.annalsofgeophysics.eu/index.php/annals/article/view/5324,,,data-centric,data assessment,collective data assessment,natural disaster,earthquakes,2008 China Wenchuan earthquake,experts and non-expert people ,NA,,yes,remote-sensing data from DigitalGlobe and Geoeye,methodological,,people compare before-and-after high-resolution satellite images to assess building damage ,,,,,Web mapping tool for collaborative damage assessment,,no
p23,Crowdsourcing earthquake damage assessment using remote sensing imagery,2011,Annals of Geophysics,journal,surveys; measurements and monitoring; instruments and techniques; seismic risk; seismology; data dissemination generation,http://www.annalsofgeophysics.eu/index.php/annals/article/view/5324,,,crisis-centric,crisis management (recovery and response),collective damage assessment,natural disaster,earthquakes,2008 China Wenchuan earthquake,experts and non-expert people ,NA,,yes,remote-sensing data from DigitalGlobe and Geoeye,methodological,,people compare before-and-after high-resolution satellite images to assess building damage ,,,,,Web mapping tool for collaborative damage assessment,,no
p25,Earthquake Twitter,2010,Nature Geosciences,journal,NA,http://dx.doi.org/10.1038/ngeo832,Twitter messages offer first-hand accounts of earthquakes within minutes. Analyses of their content and geographic distribution can be a useful supplement to instrument-based estimates of quake location and magnitude.,it is a short commentary,crisis-centric,crisis management (detection and prediction),variables estimation,natural disaster,earthquakes,NA,geologists,Twitter,,no,,exploratory,,,,,,,web mapping  (ShakeMap),,yes
p26,Information Verification during Natural Disasters,2013,Workshop on Social Web for Disaster Management (WWW),conference,crowdsourcing; data verification,http://irevolution.files.wordpress.com/2011/07/verily-swdmwww13.pdf,,,data-centric,data assessment,user-driven data assessment,natural disaster,NA,NA,humanitarian organizations; journalists; decision makers,Twitter,,no,,exploratory,,people engagement  (gamification) via recursive incentive mechanism to verify information,,,,,,basic mapping,no
p28,A Sensitive Twitter Earthquake Detector,2013,International conference on World Wide Web companion,conference,crisis coordination; disaster management; situation awareness; social media,http://www2013.org/companion/p999.pdf,, GeoSpread indicator and SNA struture can be used as effective indicators for earthquake alerting ,crisis-centric,crisis management (detection and prediction),variables estimation,natural disaster,earthquakes,NA,emergency managers,Twitter,,no,,predictive,api,,,,,geoSpread measure; SNA structure (retweet percentage),geo-spread  process to calculate quake intensity,basic mapping,yes
p31,Automatic Identification of Crisis-Related Sub-events Using Clustering,2012,International conference on Machine Learning and Applications,conference,clustering; crisis management; sub-event detection,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6406815,,,data-centric,data preparation,topic classification,natural and man-made disaster,hurricanes; riots,Oslo Bombing; UK riots; 2011 Irene hurricane,decision makers,Flickr; YouTube,geo-coded figures and videos,no,,exploratory,,,Word frequency; clustering based on cosine distance measure,,,,,basic mapping of clusters on OSM base layers,no
p31,Automatic Identification of Crisis-Related Sub-events Using Clustering,2012,International conference on Machine Learning and Applications,conference,clustering; crisis management; sub-event detection,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6406815,,,data-centric,data preparation,location selection and classification,natural and man-made disaster,hurricanes; riots,Oslo Bombing; UK riots; 2011 Irene hurricane,decision makers,Flickr; YouTube,geo-coded figures and videos,no,,exploratory,,,,clustering based on geo-referenced centroid with Self-Organizing Maps ,,,,basic mapping of clusters on OSM base layers,no
p32,Comparing Web Feeds and Tweets for Emergency Management,2013,International conference on World Wide Web companion,conference,disaster management; situation awareness; social media,http://www2013.org/companion/p1007.pdf,,it gathers data from a range of sources,data-centric,data quality,actionable information,man-made disaster,wildfires,2013 Australia fires,emergency managers,Twitter,get processed Twitter data via ESA platform (http://esa.csiro.au),yes,"authorised web feeds (GML, JSON, GeoJSON, KML)",descriptive,ESA platform,,,,,,,hotspots mapping,no
p33,Crisis Information Management in the Web 3.0 Age,2012,International ISCRAM Conference,conference,emergency management; linked open data; social media; participatory sensing; crowdsourcing ,http://www.iscramlive.org/ISCRAM2012/proceedings/160.pdf,,,data-centric,data contextualization,semantic annotation,natural disaster,NA,NA,NA,NA,,no,,exploratory,IncidentReporter mobile app,people classify and annotate semantically and enrich links ,,,,,,,no
p38,Harvesting Geospatial Knowledge from Social Metadata,2010,International ISCRAM Conference,conference,geospatial metadata; ontology; geo-ontology; social annotation; social web; geotagging,http://www.iscram.org/ISCRAM2010/Papers/150-Intagorn_etal.pdf,,,data-centric,data preparation,location selection and classification,NA,NA,NA,NA,Flickr,image metadata,yes,GeoName ontology,exploratory,,,,Feature extraction (placename); place disambiguation; clustering,,,,basic mapping,no
p38,Harvesting Geospatial Knowledge from Social Metadata,2010,International ISCRAM Conference,conference,geospatial metadata; ontology; geo-ontology; social annotation; social web; geotagging,http://www.iscram.org/ISCRAM2010/Papers/150-Intagorn_etal.pdf,,,data-centric,data contextualization,reasoning on location,NA,NA,NA,NA,Flickr,image metadata,yes,GeoName ontology,exploratory,,,,,,,geospatial subsumption (convex hull) to reason about places ,basic mapping,no
p40,Location Inference using Microblogging Messages,2012,Workshop on Social Web for Disaster Management (WWW),conference,microblog; geolocation estimation; text analysis ,http://www2012.wwwconference.org/proceedings/companion/p687.pdf,,,data-centric,data preparation,location selection and classification,man-made disaster,NA,NA,response agencies,Twitter,text-only tweets without geo-tags but generated by Foursquare,no,,exploratory,api,,,Location Name Recognition (specialised NER),,,,,no
p40,Location Inference using Microblogging Messages,2012,Workshop on Social Web for Disaster Management (WWW),conference,microblog; geolocation estimation; text analysis ,http://www2012.wwwconference.org/proceedings/companion/p687.pdf,,,data-centric,data contextualization,reasoning on location,man-made disaster,NA,NA,response agencies,Twitter,text-only tweets without geo-tags but generated by Foursquare,no,,exploratory,api,,,,,,Location extraction and inferring based on user's past messages ,,no
p42,Mining Conversations of Geographically Changing Users,2012,Workshop on Social Web for Disaster Management (WWW),conference,geographic conversations,http://www2012.org/proceedings/companion/p667.pdf,,,human-centric,human activities,daily life activities habits,man-made disaster,NA,NA,response agencies,Twitter,,no,,exploratory,api,,,,,,geographic clustering (quadtree); location transition,,no
p43,SensePlace2: GeoTwitter analytics support for situational awareness,2011,International conference on Visual Analytics Science and Technology,conference,crisis management; geovisualization; scenario-based design; situational awareness; social media analytics; spatio-temporal analysis; text analytics,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102456,, geographically-grounded situational awareness; survey on current uses of social media,data-centric,data preparation,topic selection and classification,man-made disaster,NA,NA,response agencies,Twitter,,no,,exploratory,api,,"Named Entity Recognition (people, organizations, etc)",,,,,visual geographic-temporal-thematic overview,yes
p43,SensePlace2: GeoTwitter analytics support for situational awareness,2011,International conference on Visual Analytics Science and Technology,conference,crisis management; geovisualization; scenario-based design; situational awareness; social media analytics; spatio-temporal analysis; text analytics,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102456,, geographically-grounded situational awareness; survey on current uses of social media,data-centric,data preparation,geo-parsing,man-made disaster,NA,NA,response agencies,Twitter,,no,,exploratory,api,,,"Named Entity Recognition (place names, time) +  geo-coding (Geonames)",,,,visual geographic-temporal-thematic overview,yes
p43,SensePlace2: GeoTwitter analytics support for situational awareness,2011,International conference on Visual Analytics Science and Technology,conference,crisis management; geovisualization; scenario-based design; situational awareness; social media analytics; spatio-temporal analysis; text analytics,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6102456,, geographically-grounded situational awareness; survey on current uses of social media,data-centric,data contextualization,situational awareness,man-made disaster,NA,NA,response agencies,Twitter,,no,,exploratory,api,,,,,,geo analysis; density surface maps (heatmaps),visual geographic-temporal-thematic overview,yes
p44,Social Media Data Mining: A Social Network Analysis Of Tweets During The 2010-2011 Australian Floods,2011,Pacific Asia conference on Information Systems,conference,social network analysis; text mining; social media; mass emergencies,http://alpha.nyit.edu/som/faculty/khoo/Spring2012/MIST760/Others/2011%20Social%20Media%20Data%20Mining-%20A%20Social%20Network%20Analysis%20Of%20Tweets%20During%20Aus%20Floods_ProcPACIS.pdf,,,human-centric,human relations,community formation,natural disaster,floodings,2010-2011 Australian floods,NA,Twitter,,no,,exploratory,api,,,,,"communities detection; centrality (key players); SNA structure properties (degree, closeness, eigenvector); user-resource network",,,no
p47,Top Health Trends: An information visualization tool for awareness of local health trends,2013,International ISCRAM Conference,conference,information visualization; health trends detection; situation awareness; social networking; decision aids,http://www.iscramlive.org/ISCRAM2013/files/185.pdf,,,data-centric,data preparation,topic selection and classification,man-made disaster,disease outbreaks,NA,public health agencies,Twitter,,no,,descriptive,api,,topic detection (illnesses),,,,,basic mapping,no
p47,Top Health Trends: An information visualization tool for awareness of local health trends,2013,International ISCRAM Conference,conference,information visualization; health trends detection; situation awareness; social networking; decision aids,http://www.iscramlive.org/ISCRAM2013/files/185.pdf,,,crisis-centric,crisis management (health),health trends detection,man-made disaster,disease outbreaks,NA,public health agencies,Twitter,,no,,descriptive,api,,topic detection (illnesses),,,,,basic mapping,no
p49,Twitcident: Fighting Fire with Information from Social Web Streams,2012,International conference on World Wide Web companion,conference,social web streams; filtering; faceted search; semantics,http://fabianabel.de/papers/2012-wis-www-twitcident.pdf,,,data-centric,data contextualization,semantic annotation,man-made disaster,wildfires,NA,NA,Twitter,,no,,exploratory,api,,classification and semantic profiling; linkage to external resources,,,,,,no
p51,A New Geospatial Services Framework: How Disaster Preparedness Efforts Should Integrate Neogeography,2012,"Journal of Map & Geography Libraries: Advances in Geospatial Information, Collections & Archives",journal,urban planning; disaster preparedness; neogeography; participatory planning; local government,http://www.tandfonline.com/doi/full/10.1080/15420353.2012.670084#.U7ufcvl_tUU,,,data-centric,data policies,access,natural and man-made disaster,hurricanes; riots,NA,response agencies,Multiple  sources ,,no,,descriptive,,,,,,,,basic mapping,no
p53,Demarcating new boundaries: mapping virtual polycentric communities through social media content,2013,Cartography and Geographic Information Science,journal,social media; Twitter; community detection; community mapping; statehood; Syria,http://css.gmu.edu/andrew/pubs/CaGIS.pdf,,,data-centric,data preparation,location selection and classification,man-made disaster,civil wars,geo-political scenario in Syria,geopolitics,Twitter,,no,,exploratory,api,,,word frequency,,,,basic mapping,no
p53,Demarcating new boundaries: mapping virtual polycentric communities through social media content,2013,Cartography and Geographic Information Science,journal,social media; Twitter; community detection; community mapping; statehood; Syria,http://css.gmu.edu/andrew/pubs/CaGIS.pdf,,,human-centric,human relations,community formation,man-made disaster,civil wars,geo-political scenario in Syria,geopolitics,Twitter,,no,,exploratory,api,,,,,,density surface maps (heatmaps),basic mapping,no
p55,Probing crowd density through smartphones in city-scale mass gatherings,2013,EPJ Data Science,journal,crowd sensing; pedestrian behavior; crowd density estimation; participatory sensing; smartphone,http://www.epjdatascience.com/content/2/1/5,,but it is a sound analysis,human-centric,human mobility,population flows,man-made disaster,NA,NA,NA,GPS data from mobile phone,user position,no,,inferential,voluntaries share their location ,,,,,"spatio-temporal-velocity distribution of recorded data; calculatation of crowd density; modelling/infer walking speed of pedestrians based on the crowd density (scatterplot, histogram, linear regression, residual analysis)",density surface maps (heatmaps),basic mapping,no
p57,#Earthquake: Twitter as a Distributed Sensor System,2013,Transactions in GIS,journal,NA,http://dx.doi.org/10.1111/j.1467-9671.2012.01359.x,"Social media feeds are rapidly emerging as a novel avenue for the contribution and dissemination of information that is often geographic. Their content often includes references to events occurring at, or affecting specific locations. Within this article we analyze the spatial and temporal characteristics of theÿtwitterÿfeed activity responding to a 5.8 magnitude earthquake which occurred on the East Coast of the United States (US) on August 23, 2011. We argue that these feeds represent a hybrid form of a sensor system that allows for the identification and localization of the impact area of the event. By contrasting this with comparable content collected through the dedicated crowdsourcing ?Did You Feel It?? (DYFI) website of the U.S. Geological Survey we assess the potential of the use of harvested social media content for event monitoring. The experiments support the notion that people act as sensors to give us comparable results in a timely manner, and can complement other sources of data to enhance our situational awareness and improve our understanding and response to such events.",,crisis-centric,crisis management (detection and prediction),variables estimation,natural disaster,earthquakes,2011 Mineral Earthquake,decision makers,Twitter,,yes,crowdsourcing ?Did You Feel It?? (DYFI) website of the U.S. Geological Survey,exploratory,api,,,,,,"Response pattern as function of distance from epicenter over time (histogram, etc.)",basic mapping,yes
